Age,Sex,Course,Attitude_to_study,Hobby,Screen_Time(WD),Screen_Time(We),Working,Addiction,Doing_sports,Sporty_man,Prefer_gadget,Notification_annoy,Dont_disturb_mode,Notes_in_copybook,Notes_in_laptop,Free_time,Sociability,Science_content,Entertainment_content,Average_mark,Educational_institution,Charger_carrying,Notifications_delay
21,1,2,4,0,5,5,0,9,1,10,3,4,0,5,0,6,9,0,6,3.75,0,0,36
21,0,3,8,2,9,5,0,7,1,8,3,7,4,3,8,5,10,3,7,4.75,0,5,15
22,0,2,5,0,9,9,1,8,0,2,1,8,5,3,3,4,8,3,9,4.75,1,9,15
22,1,5,8,1,5,7,1,6,1,7,2,3,6,1,6,1,2,6,7,4.75,1,1,2
22,1,7,7,0,5,11,0,7,1,3,3,8,5,4,2,2,7,1,7,3.25,1,6,10
22,1,3,8,1,10,10,0,1,1,10,3,3,0,3,0,5,10,4,2,3.75,1,0,2
22,1,3,9,0,5,4,1,8,1,6,3,5,2,9,2,4,5,3,7,4.25,1,6,4
22,1,4,6,1,9,6,0,8,0,3,3,6,0,7,0,10,4,2,10,3.75,1,1,10
22,1,7,5,1,12,6,1,6,1,6,3,8,4,8,10,4,7,0,6,3.75,0,10,5
23,0,2,8,0,7,4,1,9,1,7,1,5,3,5,2,2,7,1,7,4.25,1,7,12
23,0,7,6,0,6,12,0,7,1,5,3,5,2,7,3,3,5,1,7,4.25,1,9,4
23,1,1,8,0,7,3,1,9,0,2,3,4,3,4,1,1,7,2,6,4.75,1,3,10
23,0,5,3,2,5,8,1,7,0,4,3,7,10,0,0,3,9,1,9,4.25,1,1,3
23,1,6,9,2,8,6,1,7,1,6,3,9,7,9,2,3,7,7,8,4.75,1,10,2
24,1,3,8,5,1,1,1,0,1,8,2,0,0,1,2,5,10,4,2,3.25,1,0,0
24,0,2,9,0,9,7,1,7,1,5,3,7,2,8,4,4,9,4,9,3.25,1,8,15
24,1,6,2,1,6,8,1,7,0,0,3,6,5,6,1,8,8,5,7,3.25,1,8,2
24,1,7,5,0,5,4,1,5,1,7,3,6,10,5,0,0,7,7,5,4.75,0,0,1
24,0,8,2,1,6,4,1,9,1,5,3,10,3,2,0,3,10,3,7,4.25,0,10,15
